sent?,avoid?,user_id,date,count,username,country,influence1,influence2,influence3,none_DS dev,alt_name,chronology,count,date,x,y,country2,mentions mentioned,count
,big,2,2007-10-07 1:46:31,#NAME?,peppy,AU,,,,,,1,#NAME?,2007,,,,,
x,dead,10984521,,#NAME?,McxD,RU,,,,,,2,#NAME?,2007,,,,,
x,dead,677,2007-10-07 21:19:10,3,FFFanatic,SG,,,,,,3,3,2007,1472,741,,,
x,dead,555,2007-10-08 6:16:55,0,Extor,AR,,,,iNiS,,4,0,2007,,,,,
x,dead,94,,0,chan,AU,,,,,,5,0,2007,,,,,
x,dead,6682641,,0,HolyCOW,US,,,,,,6,0,2007,,,,,
x,dead,61,,0,tsububu,AU,,,,,,7,0,2007,,,,,
x,dead,488,,0,Kylecito,CL,,,,,,8,0,2007,,,,,
x,dead,59,,0,Lumino,AU,,,,,,9,0,2007,,,,,
x,dead,3080435,,0,Shin,US,,,,,,10,0,2007,,,,,
x,dead,88,2007-10-08 14:20:29,1,eyup,AU,,,,,,11,1,2007,,,,,
x,,410,2007-10-08 14:26:57,10,Starrodkirby86,US,Echo,DaRRi,Nharox,,,12,10,2007,1472,1131,,,
x,dead,352,,0,JacoPOP,IT,,,,,,13,0,2007,,,,,
x,dead,602,2007-10-08 23:47:45,1,Hitoshirenu Shourai,US,,,,,,14,1,2007,,,,,
x,dead,159,,0,meyou22,CA,,,,,,15,0,2007,,,,,
x,dead,301,,0,IcePagoda,US,,,,,,16,0,2007,,,,,
x,dead,95,,0,Elmo_old,AU,,,,,,17,0,2007,,,,,
x,dead,57,,0,Ellesime,CA,,,,,,18,0,2007,,,,,
x,dead,2830851,,0,level-up,CN,,,,,,19,0,2007,,,,,
x,,106,2007-10-09 2:38:49,1,Behonkiss,US,m980,mtmcl,Larto,,,20,1,2007,1472,381,,,
x,dead,108,,0,ZZT the Fifth,US,,,,,,21,0,2007,,,,,
x,dead,904,,0,Donryu,CA,,,,,,22,0,2007,,,,,
x,dead,857,,0,KiraCatgirl,US,,,,,,23,0,2007,,,,,
x,dead,431,2007-10-13 22:56:47,4,Echo,NZ,,,,,,24,4,2007,1472,851,,,
x,dead,424,,0,caelus,US,,,,,,25,0,2007,,,,,
x,dead,819,2007-10-16 16:43:00,0,Loginer,SE,,,,none,,26,0,2007,,,,,
x,dead,946,,0,GuardianHX,CA,LuigiHann,,,,,27,0,2007,,,,,
x,dead,274,2007-10-21 16:11:13,0,Oddbrother,US,eyup,LuigiHann,,,,28,0,2007,,,,,
,big,55,,0,Zallius,HM,,,,,,29,0,2007,,,,,
x,,452,2007-10-22 20:54:46,1,Kharl,TH,,,,,,30,1,2007,,,,,
x,dead,2237,,0,Egg1991,US,,,,,,31,0,2007,,,,,
x,dead,1686849,,0,Jay,AU,,,,,,32,0,2007,,,,,
x,,2363,2007-10-25 20:35:50,37,DJPop,TH,,,,none,,33,37,2007,1472,1791,37,,71
x,dead,2486,,0,Jean_old,CA,,,,,,34,0,2007,,,,,
x,dead,2592,,0,Bonesnake,NL,,,,,,35,0,2007,,,,,
x,dead,1006,,0,DS-Deluxe,DE,,,,,,36,0,2007,,,,,
x,dead,2271,2007-10-29 17:46:47,0,Fraeon,FI,LuigiHann,awp,Ryumaru-MG,,,37,0,2007,,,,,
x,dead,1432,,0,Puffles,US,,,,,,38,0,2007,,,,,
x,dead,2646,,0,elvana,TH,,,,,,39,0,2007,,,,,
x,dead,2596,,0,RatherDashing42,US,,,,,,40,0,2007,,,,,
x,dead,501,,0,qudfo9,KR,,,,,,41,0,2007,,,,,
x,dead,2154,,0,K-S-O,US,,,,,,42,0,2007,,,,,
x,dead,2542,,0,sixtysevenfrogs,CA,,,,,,43,0,2007,,,,,
x,dead,1961,,0,Leniad,AR,,,,,,44,0,2007,,,,,
x,dead,1598,,0,flakmonkey,DE,,,,,,45,0,2007,,,,,
x,dead,1332,,0,Aliento,US,,,,,,46,0,2007,,,,,
x,dead,2527,,0,advancechao,US,,,,,,47,0,2007,,,,,
x,dead,2740,,0,Shadowtje,NL,,,,,,48,0,2007,,,,,
x,dead,2650,2007-11-09 2:03:56,4,awp,CA,,,,,,49,4,2007,,,,,
x,dead,10533,,0,zzt,US,,,,,,50,0,2007,,,,,
x,dead,2024,2007-11-11 16:40:43,0,EiJi,US,,,,none,,51,0,2007,,,,,
x,dead,2355,,0,Homestarrunner,US,,,,,,52,0,2007,,,,,
x,dead,739,,0,Gilrad,US,,,,,,53,0,2007,,,,,
x,dead,2583,,0,Fox,DE,,,,,,54,0,2007,,,,,
x,dead,1733,,0,Tapdancingmetroid,US,DaRRi,Starrodkirby86,awp,,,55,0,2007,,,,,
x,dead,3562,,0,Machu_old,US,,,,,,56,0,2007,,,,,
x,dead,2348,,0,Manabeast,US,,,,,,57,0,2007,,,,,
x,dead,2233,2007-11-28 17:57:38,1,Cecilthemos,US,,,,,,58,1,2007,1732,471,,,
x,dead,2859,,0,Impossible_old,CA,,,,,,59,0,2007,,,,,
x,dead,2905,,0,darkbluetornado,US,,,,,,60,0,2007,,,,,
x,dead,3736,2007-12-03 14:20:53,0,wiicademan,US,,,,iNiS,,61,0,2007,,,,,
x,dead,3004,2007-12-09 16:53:08,0,Gunzil,US,,,,iNiS,,62,0,2007,,,,,
x,dead,4254,2007-12-11 5:19:21,1,MaxwellDemon,GB,,,,,,63,1,2007,1992,471,,,
x,dead,4011365,,0,Lancer,CN,,,,,,64,0,2007,,,,,
x,dead,2560,2007-12-23 16:49:34,0,hadoken_zero,AU,m980,,,,,65,0,2007,,,,,
x,dead,1728,,0,Headbang,US,,,,,,66,0,2007,,,,,
x,dead,2778,,0,Zyid,US,,,,,,67,0,2007,,,,,
x,dead,5096,,0,Enok Walker,US,,,,,,68,0,2008,,,,,
x,,4249,2008-01-21 7:11:38,2,Mifune24,US,Rolled,Sinistro,Echo,,,69,2,2008,2252,611,,,
x,dead,5243,2008-01-23 0:07:26,9,Rolled,US,,,,,,70,9,2008,2252,1131,,,
x,dead,5220,,0,flyboy87,US,,,,,,71,0,2008,,,,,
x,dead,5268,,0,Phrygian,US,,,,,,72,0,2008,,,,,
x,dead,5725,,0,Slezak,US,,,,,,73,0,2008,,,,,
x,dead,4220,2007-12-23 16:49:34,0,CheEZ_old,CA,,,,,,74,0,2008,,,,,
x,dead,2934,,0,Kimichi,US,,,,,,75,0,2008,,,,,
x,,5960,2008-02-05 15:33:34,3,mtmcl,US,Mifune24,Cecilthemos,Rolled,,,76,3,2008,2512,751,,,
x,dead,5530,2008-02-06 10:06:26,1,Sinistro,GR,Echo,mtmcl,MaxwellDemon,,,77,1,2008,2512,471,4,,4
x,dead,5807,,0,Maythius,US,,,,,,78,0,2008,,,,,
x,dead,2930,,0,kennyloo69,US,,,,,,79,0,2008,,,,,
x,,5728,2008-02-13 6:59:44,26,James,PH,,,,none,,80,26,2008,2512,1591,41,,41
x,,3936,2008-02-13 6:59:44,3,Card N'FoRcE,IT,Al-Azif,happy30,Starrodkirby86,,,80.5,3,2008,2512,711,,,
x,dead,4696,,0,Zweihander,PH,,,,,,81,0,2008,,,,,
x,dead,5940,,0,MetalSonic3,FI,,,,,,82,0,2008,,,,,
x,dead,6477,,0,Terrapin,CA,,,,,,83,0,2008,,,,,
x,,3288,2008-02-28 18:29:01,6,m980,AU,Echo,DaRRi,mm201,iNiS,,84,6,2008,2512,991,20,,20
x,dead,4537,,0,Kai,MX,awp,machol30,LuigiHann,,,85,0,2008,,,,,
x,dead,6566,,0,ProF,RU,,,,,,86,0,2008,,,,,
x,dead,4934,,0,mattyu007,CA,,,,,,87,0,2008,,,,,
x,dead,4271,,0,eirrol,US,,,,,,88,0,2008,,,,,
x,dead,1079,2008-04-09 13:52:51,8,LuigiHann,US,,,,,,89,8,2008,,,,,
x,dead,6659,,0,Maximum,US,,,,,,90,0,2008,,,,,
x,dead,6057,,0,P-Drogan,CA,,,,,,91,0,2008,,,,,
x,dead,6537,,0,aquabluu,MY,,,,,,92,0,2008,,,,,
x,dead,6825,,0,Vic,PL,,,,,,93,0,2008,,,,,
x,dead,7186,2008-04-27 22:56:50,4,Duoprism,AU,,,,,,94,4,2008,3032,851,,,
x,dead,7900,,0,Dranoel,US,,,,,,95,0,2008,,,,,
x,dead,8950,2008-05-10 10:46:24,0,MOOMANiBE,US,,,,iNiS,,96,0,2008,,,,,
x,dead,586,,0,TiZ,US,,,,,,97,0,2008,,,,,
x,dead,71,,0,diela,HK,,,,,,98,0,2008,,,,,
x,dead,10441,,0,Dakeyrus,CA,,,,,,99,0,2008,,,,,
x,,10028,,0,vytalibus,PH,,,,,,100,0,2008,,,,,
x,dead,11738,,0,BluePaladin25,US,,,,,,101,0,2008,,,,,
x,dead,9415,,0,Kasada,US,,,,,,102,0,2008,,,,,
x,dead,8614,,0,bitor,US,,,,,,103,0,2008,,,,,
x,dead,6529,,0,YoshiKart,US,Starrodkirby86,,,iNiS,,104,0,2008,,,,,
x,,9934,2008-07-02 3:09:39,3,kingcobra52,US,,,,,,105,3,2008,,,,,
x,dead,7365,,0,Gemi,FI,,,,,,106,0,2008,,,,,
x,dead,12506,,0,lukewarmholiday,US,,,,,,107,0,2008,,,,,
